director,title,star,writer
Bill Condon,"Sister, Sister",Eric Stoltz,Bill Condon
Susan Seidelman,Making Mr. Right,John Malkovich,Floyd Byars
Donald Cammell,White of the Eye,David Keith,China Kong
Rick Rosenthal,Russkies,Whip Hubley,Sheldon Lettich
Jerry Belson,Surrender,Sally Field,Jerry Belson
Bill Forsyth,Housekeeping,Christine Lahti,Marilynne Robinson
John Duigan,The Year My Voice Broke,Noah Taylor,John Duigan
Douglas Grossman,Hell High,Maureen Mooney,Leo Evans
Diane Kurys,A Man in Love,Peter Coyote,Diane Kurys
Bob Clark,From the Hip,Judd Nelson,Bob Clark
Armyan Bernstein,Cross My Heart,Martin Short,Armyan Bernstein
Robert Mandel,Big Shots,Ricky Busker,Joe Eszterhas
Michael Apted,Critical Condition,Richard Pryor,Denis Hamill
Fred Olen Ray,Cyclone,Heather Thomas,Paul Garson
Paul Aaron,Morgan Stewart's Coming Home,Jon Cryer,Ken Hixon
Dorothy Ann Puzo,Cold Steel,Brad Davis,Lisa M. Hansen
Ron Link,Zombie High,Virginia Madsen,Tim Doyle
Federico Fellini,Intervista,Sergio Rubini,Federico Fellini
Charlie Loventhal,My Demon Lover,Scott Valentine,Leslie Ray
David Irving,Rumpelstiltskin,Amy Irving,Jacob Grimm
Lee H. Katzin,World Gone Wild,Bruce Dern,Jorge Zamacona
Peter Manoogian,Enemy Territory,Gary Frank,Stuart Kaminsky
Peter Del Monte,Julia and Julia,Kathleen Turner,Peter Del Monte
Dominique Deruddere,Crazy Love,Josse De Pauw,Charles Bukowski
John D. Hancock,Weeds,Nick Nolte,Dorothy Tristan
Jean-Loup Hubert,The Grand Highway,AnÈmone,Jean-Loup Hubert
Ken Cameron,Peter Kenna's The Good Wife,Rachel Ward,Peter Kenna
Jerry London,Rent-a-Cop,Burt Reynolds,Michael Blodgett
…ric Rohmer,Boyfriends and Girlfriends,Emmanuelle Chaulet,…ric Rohmer
Stephen Frears,Sammy and Rosie Get Laid,Shashi Kapoor,Hanif Kureishi
Terry Leonard,Death Before Dishonor,Fred Dryer,John Gatliff
Rick King,The Killing Time,Beau Bridges,Don Bohlinger
Peter Richardson,Eat the Rich,Al Pillay,Peter Richardson
Burt Kennedy,The Trouble with Spies,Donald Sutherland,Burt Kennedy
Joe Camp,Benji the Hunted,Red Steagall,Joe Camp
Fred Walton,The Rosary Murders,Donald Sutherland,William X. Kienzle
Jonathan Demme,Swimming to Cambodia,Spalding Gray,Spalding Gray
Jamaa Fanaka,Penitentiary III,Leon Isaac Kennedy,Jamaa Fanaka
Robert Boris,Steele Justice,Sela Ward,Robert Boris
…ric Rohmer,Four Adventures of Reinette and Mirabelle,JoÎlle Miquel,…ric Rohmer
Robert Altman,Beyond Therapy,Julie Hagerty,Christopher Durang
Tim Burton,Beetlejuice,Alec Baldwin,Michael McDowell
John Landis,Coming to America,Eddie Murphy,Eddie Murphy
Tom Holland,Child's Play,Catherine Hicks,Don Mancini
John McTiernan,Die Hard,Bruce Willis,Roderick Thorp
Ron Howard,Willow,Val Kilmer,George Lucas
Michael Lehmann,Heathers,Winona Ryder,Daniel Waters
Barry Levinson,Rain Man,Dustin Hoffman,Barry Morrow
John Carpenter,They Live,Roddy Piper,Ray Nelson
Robert Zemeckis,Who Framed Roger Rabbit,Bob Hoskins,Gary K. Wolf
Katsuhiro ‘tomo,Akira,Nozomu Sasaki,Katsuhiro ‘tomo
Penny Marshall,Big,Tom Hanks,Gary Ross
Roger Donaldson,Cocktail,Tom Cruise,Heywood Gould
Giuseppe Tornatore,Cinema Paradiso,Philippe Noiret,Giuseppe Tornatore
Chuck Russell,The Blob,Shawnee Smith,Theodore Simonson
Stan Winston,Pumpkinhead,Lance Henriksen,Ed Justin
Charles Crichton,A Fish Called Wanda,John Cleese,John Cleese
Stephen Chiodo,Killer Klowns from Outer Space,Grant Cramer,Charles Chiodo
Martin Brest,Midnight Run,Robert De Niro,George Gallo
Tony Randel,Hellbound: Hellraiser II,Doug Bradley,Clive Barker
Alan Parker,Mississippi Burning,Gene Hackman,Chris Gerolmo
David Zucker,The Naked Gun: From the Files of Police Squad!,Leslie Nielsen,Jerry Zucker
Newt Arnold,Bloodsport,Jean-Claude Van Damme,Sheldon Lettich
Mike Nichols,Working Girl,Melanie Griffith,Kevin Wade
John Cornell,Crocodile Dundee II,Paul Hogan,Paul Hogan
Don Bluth,The Land Before Time,Pat Hingle,Stu Krieger
Ivan Reitman,Twins,Arnold Schwarzenegger,William Davies
Stephen Frears,Dangerous Liaisons,Glenn Close,Christopher Hampton
Philip Kaufman,The Unbearable Lightness of Being,Daniel Day-Lewis,Milan Kundera
Luc Besson,The Big Blue,Jean-Marc Barr,Luc Besson
Garry Marshall,Beaches,Bette Midler,Iris Rainer
Dwight H. Little,Halloween 4: The Return of Michael Myers,Donald Pleasence,Dhani Lipsius
Christopher Cain,Young Guns,Emilio Estevez,John Fusco
Walter Hill,Red Heat,Arnold Schwarzenegger,Walter Hill
Donald Petrie,Mystic Pizza,Annabeth Gish,Amy Holden Jones
Peter MacDonald,Rambo III,Sylvester Stallone,David Morrell
Jonathan Kaplan,Acusados,Kelly McGillis,Tom Topor
Martin Scorsese,The Last Temptation of Christ,Willem Dafoe,Nikos Kazantzakis
John Waters,Hairspray,Sonny Bono,John Waters
Frank Oz,Dirty Rotten Scoundrels,Steve Martin,Dale Launer
Renny Harlin,A Nightmare on Elm Street 4: The Dream Master,Robert Englund,Wes Craven
RamÛn MenÈndez,Stand and Deliver,Edward James Olmos,Ramun Menndez
Howard Deutch,The Great Outdoors,Dan Aykroyd,John Hughes
Zalman King,Two Moon Junction,Sherilyn Fenn,Zalman King
Ron Shelton,Bull Durham,Kevin Costner,Ron Shelton
Andrew Davis,Above the Law,Steven Seagal,Andrew Davis
Julien Temple,Earth Girls Are Easy,Geena Davis,Julie Brown
George Scribner,Oliver & Company,Joey Lawrence,Jim Cox
Buddy Van Horn,The Dead Pool,Clint Eastwood,Harry Julian Fink
James Signorelli,Elvira: Mistress of the Dark,Cassandra Peterson,Sam Egan
Richard Donner,Scrooged,Bill Murray,Mitch Glazer
Robert Towne,Tequila Sunrise,Mel Gibson,Robert Towne
Roman Polanski,Frantic,Harrison Ford,Roman Polanski
John Carl Buechler,Friday the 13th Part VII: The New Blood,Jennifer Banko,Daryl Haney
Greg Beeman,License to Drive,Corey Haim,Neil Tolkin
Terry Gilliam,The Adventures of Baron Munchausen,John Neville,Charles McKeown
David Cronenberg,Dead Ringers,Jeremy Irons,David Cronenberg
Gary Sherman,Poltergeist III,Heather O'Rourke,Gary Sherman
Tommy Lee Wallace,Fright Night Part 2,William Ragsdale,Tom Holland
Keenen Ivory Wayans,I'm Gonna Git You Sucka,Keenen Ivory Wayans,Keenen Ivory Wayans
Bud S. Smith,Johnny Be Good,Anthony Michael Hall,Steve Zacharias
William Lustig,Maniac Cop,Tom Atkins,Larry Cohen
Jonathan Demme,Married to the Mob,Michelle Pfeiffer,Barry Strugatz
Dennis Hopper,Colors,Sean Penn,Michael Schiffer
Neil Jordan,El Hotel de los Fantasmas,Peter O'Toole,Neil Jordan
Sidney Lumet,Running on Empty,River Phoenix,Naomi Foner
Kevin Tenney,Night of the Demons,Cathy Podewell,Joe Augustyn
Stewart Raffill,Mac and Me,Christine Ebersole,Stewart Raffill
Mick Garris,Critters 2,Scott Grimes,David Twohy
Richard Benjamin,My Stepmother Is an Alien,Dan Aykroyd,Jerico
Ken Wiederhorn,Return of the Living Dead II,James Karen,Ken Wiederhorn
Kenneth Johnson,Short Circuit 2,Fisher Stevens,Brent Maddock
Michael Apted,Gorillas in the Mist,Sigourney Weaver,Harold T.P. Hayes
Robert Bierman,Vampire's Kiss,Nicolas Cage,Joseph Minion
William Richert,A Night in the Life of Jimmy Reardon,River Phoenix,William Richert
Michael Hoffman,Some Girls,Patrick Dempsey,Rupert Walters
Ken Russell,The Lair of the White Worm,Amanda Donohoe,Ken Russell
Anthony Hickox,Waxwork,Zach Galligan,Anthony Hickox
Wes Craven,The Serpent and the Rainbow,Bill Pullman,Wade Davis
Ken Annakin,Las travesuras de una pelirojja,Tami Erin,Astrid Lindgren
John Sayles,Eight Men Out,John Cusack,Eliot Asinof
Frank LaLoggia,Lady in White,Lukas Haas,Frank LaLoggia
Pedro AlmodÛvar,Women on the Verge of a Nervous Breakdown,Carmen Maura,Pedro AlmodÛvar
John Hughes,She's Having a Baby,Kevin Bacon,John Hughes
Don Coscarelli,Phantasm II,James Le Gros,Don Coscarelli
James Bridges,Luces de una gran ciudad,Michael J. Fox,Jay McInerney
Peter Hyams,The Presidio,Sean Connery,Larry Ferguson
Jim Abrahams,Big Business,Bette Midler,Dori Pierson
George A. Romero,Monkey Shines,Jason Beghe,Michael Stewart
George Roy Hill,Funny Farm,Chevy Chase,Jay Cronley
Thom Eberhardt,Without a Clue,Michael Caine,Gary Murphy
Graham Baker,Alien Nation,James Caan,Rockne S. O'Bannon
Ernest Thompson,1969,Robert Downey Jr.,Ernest Thompson
Robert Englund,976-EVIL,Stephen Geoffreys,Brian Helgeland
Craig R. Baxley,Action Jackson,Carl Weathers,Robert Reneau
Robert Redford,The Milagro Beanfield War,RubÈn Blades,John Nichols
Francis Ford Coppola,Tucker: The Man and His Dream,Jeff Bridges,Arnold Schulman
Alan Myerson,Police Academy 5: Assignment: Miami Beach,Bubba Smith,Neal Israel
Spike Lee,School Daze,Laurence Fishburne,Spike Lee
Brian Gilbert,Vice Versa,Judge Reinhold,F. Anstey
Steve De Jarnatt,Miracle Mile,Anthony Edwards,Steve De Jarnatt
Emir Kusturica,Time of the Gypsies,Davor Dujmovic,Emir Kusturica
Lawrence Kasdan,The Accidental Tourist,William Hurt,Anne Tyler
Daniel Petrie,Cocoon: The Return,Don Ameche,David Saperstein
Kevin Reynolds,The Beast of War,George Dzundza,William Mastrosimone
Martin Donovan,Apartment Zero,Hart Bochner,Martin Donovan
Carl Schultz,The Seventh Sign,Demi Moore,Clifford Green
Bob Swaim,Masquerade,Rob Lowe,Dick Wolf
Woody Allen,Another Woman,Gena Rowlands,Woody Allen
Clint Eastwood,Bird,Forest Whitaker,Joel Oliansky
Peter Greenaway,Drowning by Numbers,Bernard Hill,Peter Greenaway
Fred Schepisi,A Cry in the Dark,Meryl Streep,John Bryson
Mike Nichols,Biloxi Blues,Matthew Broderick,Neil Simon
Oliver Stone,Talk Radio,Eric Bogosian,Stephen Singular
Jean-Jacques Annaud,The Bear,TchÈky Karyo,James Oliver Curwood
GeneviËve Robert,Casual Sex?,Lea Thompson,Wendy Goldman
Allan Arkush,Caddyshack II,Jackie Mason,Brian Doyle-Murray
Ken Kwapis,Vibes,Cyndi Lauper,Deborah Blum
Roger Spottiswoode,Shoot to Kill,Sidney Poitier,Harv Zimmel
John G. Avildsen,For Keeps?,Molly Ringwald,Tim Kazurinsky
Yahoo Serious,Young Einstein,Yahoo Serious,David Roach
Martin Campbell,Criminal Law,Gary Oldman,Mark Kasdan
Joan Freeman,Satisfaction,Justine Bateman,Charles Purpura
Costa-Gavras,Betrayed,Debra Winger,Joe Eszterhas
Glenn Gordon Caron,Clean and Sober,Michael Keaton,Tod Carroll
Jon Hess,Al borde del terror,Corey Haim,Dean R. Koontz
Joseph Zito,Escorpion rojo,Dolph Lundgren,Robert Abramoff
Annabel Jankel,D.O.A.,Dennis Quaid,Charles Edward Pogue
Michael Winner,Appointment with Death,Peter Ustinov,Agatha Christie
Mira Nair,Salaam Bombay!,Shafiq Syed,Hriday Lani
Peter Markle,Bat*21,Gene Hackman,William C. Anderson
Geoff Burrowes,Return to Snowy River,Tom Burlinson,Geoff Burrowes
Paul Golding,Pulse,Cliff De Young,Paul Golding
Steven Kampmann,Stealing Home,Mark Harmon,Steven Kampmann
Alan Metter,Moving,Richard Pryor,Andy Breckman
Paul Flaherty,18 Again!,Charlie Schlatter,Josh Goldstein
David Anspaugh,Fresh Horses,Molly Ringwald,Larry Ketron
Paul Bogart,Torch Song Trilogy,Anne Bancroft,Harvey Fierstein
Mark Goldblatt,Dead Heat,Treat Williams,Terry Black
Jim Wynorski,Not of This Earth,Traci Lords,R.J. Robertson
Richard Benjamin,Little Nikita,Sidney Poitier,John Hill
David Seltzer,Punchline,Sally Field,David Seltzer
Ferdinand Fairfax,The Rescue,Kevin Dillon,Jim Thomas
Aaron Norris,Braddock: Missing in Action III,Chuck Norris,Steve Bing
Sidney J. Furie,Iron Eagle II,Louis Gossett Jr.,Kevin Alyn Elders
Bruno Nuytten,Camille Claudel,Isabelle Adjani,Reine-Marie Paris
Randal Kleiser,Big Top Pee-wee,Paul Reubens,Paul Reubens
Mike Figgis,Stormy Monday,Melanie Griffith,Mike Figgis
Keith Gordon,The Chocolate War,John Glover,Robert Cormier
Kar-Wai Wong,As Tears Go By,Andy Lau,Jeffrey Lau
Janet Greek,Spellbinder,Tim Daly,Tracy TormÈ
Harold Becker,The Boost,James Woods,Ben Stein
Paul Mazursky,Moon Over Parador,Richard Dreyfuss,Charles G. Booth
John R. Cherry III,Ernest Saves Christmas,Jim Varney,Ed Turner
Chris Menges,A World Apart,Barbara Hershey,Shawn Slovo
James B. Harris,Cop,James Woods,James Ellroy
David Green,Buster,Phil Collins,Colin Shindler
Joan Micklin Silver,Crossing Delancey,Amy Irving,Susan Sandler
Bernard Rose,Paperhouse,Charlotte Burke,Catherine Storr
Robert Mulligan,Clara's Heart,Whoopi Goldberg,Joseph Olshan
James Glickenhaus,Shakedown,Peter Weller,James Glickenhaus
Michael Ritchie,The Couch Trip,Dan Aykroyd,Ken Kolb
Rene Laloux,Gandahar,Glenn Close,Rene Laloux
Marisa Silver,Permanent Record,Alan Boyce,Jarre Fees
Pen Densham,The Kiss,Joanna Pacula,Tom Ropelewski
Catherine Breillat,36 fillette,Delphine Zentout,Catherine Breillat
William Tannen,Hero and the Terror,Chuck Norris,Michael Blodgett
Michael Dinner,Hot to Trot,Bobcat Goldthwait,Stephen Neigher
Taylor Hackford,Everybody's All-American,Jessica Lange,Frank Deford
Leo Penn,Judgement in Berlin,Martin Sheen,Herbert J. Stern
Roger Vadim,And God Created Woman,Rebecca De Mornay,R.J. Stewart
Mike Leigh,High Hopes,Ruth Sheen,Mike Leigh
Leonard Nimoy,The Good Mother,Diane Keaton,Michael Bortman
Blake Edwards,Sunset,Bruce Willis,Rod Amateau
Martin Stellman,For Queen & Country,Denzel Washington,Martin Stellman
Matthew Chapman,Heart of Midnight,Jennifer Jason Leigh,Matthew Chapman
Daniel Petrie,Rocket Gibraltar,Burt Lancaster,Amos Poe
Rowdy Herrington,Jack's Back,James Spader,Rowdy Herrington
Bill Fishman,Tapeheads,John Cusack,Bill Fishman
Charles Sturridge,A Handful of Dust,James Wilby,Derek Granger
Nicolas Roeg,Track 29,Theresa Russell,Dennis Potter
Boaz Davidson,Salsa,Draco Rosa,Boaz Davidson
Andrew Fleming,Bad Dreams,Jennifer Rubin,Andrew Fleming
Pat O'Connor,Stars and Bars,Daniel Day-Lewis,William Boyd
David Beaird,It Takes Two,George Newbern,Richard Christian Matheson
Paul Schrader,Patty Hearst,Natasha Richardson,Patricia Hearst
Bud Yorkin,Arthur 2: On the Rocks,Dudley Moore,Steve Gordon
Chris Columbus,Heartbreak Hotel,David Keith,Chris Columbus
Claude Chabrol,Story of Women,Isabelle Huppert,Colo Tavernier
Mark Rosenthal,The In Crowd,Jennifer Runyon,Lawrence Konner
Donald P. Bellisario,Last Rites,Tom Berenger,Donald P. Bellisario
J. Lee Thompson,Messenger of Death,Charles Bronson,Rex Burns
Aaron Norris,Platoon Leader,Tony Pierce,Andrew Deutsch
Alan Rudolph,The Moderns,Keith Carradine,Alan Rudolph
Ted Kotcheff,Switching Channels,Kathleen Turner,Ben Hecht
Claire Denis,Chocolat,Isaach De BankolÈ,Claire Denis
Caleb Deschanel,Crusoe,Aidan Quinn,Daniel Defoe
Terence Davies,"Distant Voices, Still Lives",Pete Postlethwaite,Terence Davies
Piers Haggard,A Summer Story,Imogen Stubbs,John Galsworthy
Danny Bilson,The Wrong Guys,Louie Anderson,Paul De Meo
Christopher Crowe,Off Limits,Willem Dafoe,Christopher Crowe
Daniel Goldberg,Feds,Rebecca De Mornay,Len Blum
Peter Yates,The House on Carroll Street,Kelly McGillis,Walter Bernstein
Francis Megahy,Taffin,Pierce Brosnan,David Ambrose
Robert M. Young,Dominick and Eugene,Tom Hulce,Corey Blechman
Ken Russell,Salome's Last Dance,Glenda Jackson,Oscar Wilde
Peter Bogdanovich,Illegally Yours,Rob Lowe,Michael Kaplan
Amin Q. Chaudhri,Tiger Warsaw,Patrick Swayze,Roy London
David Stevens,Kansas,Matt Dillon,Spencer Eastman
Danny Huston,Mr. North,Anthony Edwards,Thornton Wilder
Camilo Vila,The Unholy,Ben Cross,Philip Yordan
Gary Sinise,Miles from Home,Richard Gere,Chris Gerolmo
David Mamet,Things Change,Don Ameche,David Mamet
Steve Carver,Bulletproof,Gary Busey,T.L. Lankford
Henry Winkler,Memories of Me,Billy Crystal,Eric Roth
Robert Greenwald,Sweet Hearts Dance,Don Johnson,Ernest Thompson
Michael Schroeder,Out of the Dark,Cameron Dye,J. Greg De Felice
Nicholas Meyer,The Deceivers,Pierce Brosnan,John Masters
Armand Mastroianni,Cameron's Closet,Cotter Smith,Gary Brandner
Vincent Ward,The Navigator: A Medieval Odyssey,Bruce Lyons,Geoff Chapple
David Beaird,Pass the Ammo,Bill Paxton,Joel Cohen
Peter Weir,Dead Poets Society,Robin Williams,Tom Schulman
Tim Burton,Batman,Michael Keaton,Bob Kane
Mary Lambert,Pet Sematary,Dale Midkiff,Stephen King
Steven Spielberg,Indiana Jones and the Last Crusade,Harrison Ford,Jeffrey Boam
Ron Clements,The Little Mermaid,Jodi Benson,John Musker
Andrey Konchalovskiy,Tango & Cash,Sylvester Stallone,Randy Feldman
Rowdy Herrington,Road House,Patrick Swayze,R. Lance Hill
Jeremiah S. Chechik,National Lampoon's Christmas Vacation,Chevy Chase,John Hughes
Stephen Herek,Bill & Ted's Excellent Adventure,Keanu Reeves,Chris Matheson
Phil Alden Robinson,Field of Dreams,Kevin Costner,W.P. Kinsella
Robert Zemeckis,Back to the Future Part II,Michael J. Fox,Robert Zemeckis
James Cameron,The Abyss,Ed Harris,James Cameron
John Hughes,Uncle Buck,John Candy,John Hughes
Spike Lee,Do the Right Thing,Danny Aiello,Spike Lee
Ted Kotcheff,Weekend at Bernie's,Andrew McCarthy,Robert Klane
Edward Zwick,Glory,Matthew Broderick,Kevin Jarre
Rob Reiner,When Harry Met Sally...,Billy Crystal,Nora Ephron
Herbert Ross,Steel Magnolias,Shirley MacLaine,Robert Harling
Ivan Reitman,Ghostbusters II,Bill Murray,Dan Aykroyd
Cameron Crowe,Say Anything...,John Cusack,Cameron Crowe
Amy Heckerling,Look Who's Talking,John Travolta,Amy Heckerling
George P. Cosmatos,Leviathan,Peter Weller,David Webb Peoples
Joe Johnston,"Honey, I Shrunk the Kids",Rick Moranis,Stuart Gordon
David S. Ward,Major League,Tom Berenger,David S. Ward
Oliver Stone,Born on the Fourth of July,Tom Cruise,Ron Kovic
John G. Avildsen,The Karate Kid Part III,Ralph Macchio,Robert Mark Kamen
Joe Dante,The 'Burbs,Tom Hanks,Dana Olsen
Ron Howard,Parenthood,Steve Martin,Lowell Ganz
Richard Donner,Lethal Weapon 2,Mel Gibson,Jeffrey Boam
John Glen,Licence to Kill,Timothy Dalton,Michael G. Wilson
Zalman King,Wild Orchid,Mickey Rourke,Patricia Louisianna Knop
Jim Sheridan,My Left Foot,Daniel Day-Lewis,Shane Connaughton
Richard Greenberg,Little Monsters,Fred Savage,Terry Rossio
Steven Spielberg,Always,Richard Dreyfuss,Jerry Belson
Steven Soderbergh,"Sex, Lies, and Videotape",James Spader,Steven Soderbergh
John G. Avildsen,Lean on Me,Morgan Freeman,Michael Schiffer
Peter Greenaway,"The Cook, the Thief, His Wife & Her Lover",Richard Bohringer,Peter Greenaway
William Shatner,Star Trek V: The Final Frontier,William Shatner,Gene Roddenberry
Bruce Beresford,Driving Miss Daisy,Morgan Freeman,Alfred Uhry
Graeme Clifford,Gleaming the Cube,Christian Slater,Michael Tolkin
Brian De Palma,Casualties of War,Michael J. Fox,Daniel Lang
Dorian Walker,Teen Witch,Robyn Lively,Robin Menken
Arthur Hiller,"See No Evil, Hear No Evil",Richard Pryor,Earl Barret
Mark DiSalle,Kickboxer,Jean-Claude Van Damme,Mark DiSalle
Stephen Hopkins,A Nightmare on Elm Street 5: The Dream Child,Robert Englund,Wes Craven
Dominique Othenin-Girard,Halloween 5,Donald Pleasence,John Carpenter
Roger Spottiswoode,Turner & Hooch,Tom Hanks,Dennis Shryack
Phillip Noyce,Terror a bordo,Nicole Kidman,Terry Hayes
Rob Hedden,Friday the 13th Part VIII: Jason Takes Manhattan,Jensen Daggett,Rob Hedden
Eddie Murphy,Harlem Nights,Eddie Murphy,Eddie Murphy
Ridley Scott,Black Rain,Michael Douglas,Craig Bolotin
Don Bluth,All Dogs Go to Heaven,Dom DeLuise,Don Bluth
Albert Pyun,Cyborg,Jean-Claude Van Damme,Albert Pyun
Michael Ritchie,Fletch Lives,Chevy Chase,Gregory McDonald
Todd Holland,The Wizard,Fred Savage,David Chisholm
Danny DeVito,The War of the Roses,Michael Douglas,Warren Adler
Kenneth Branagh,Henry V,Kenneth Branagh,William Shakespeare
Jeff Kanew,Troop Beverly Hills,Shelley Long,Ava Ostern Fries
Harold Becker,Sea of Love,Al Pacino,Richard Price
Robert Radler,Best of the Best,Eric Roberts,Phillip Rhee
Chris Walas,The Fly II,Eric Stoltz,Mick Garris
Kathryn Bigelow,Blue Steel,Jamie Lee Curtis,Kathryn Bigelow
Joan Micklin Silver,Loverboy,Patrick Dempsey,Robin Schiff
Milos Forman,Valmont relaciones peligrosas,Colin Firth,Choderlos de Laclos
Gus Van Sant,Drugstore Cowboy,Matt Dillon,James Fogle
Pedro AlmodÛvar,Tie Me Up! Tie Me Down!,Victoria Abril,Pedro AlmodÛvar
Marc Rocco,Dream a Little Dream,Corey Feldman,Daniel Jay Franklin
Steve Miner,Warlock,Julian Sands,David Twohy
Masami Hata,Little Nemo: Adventures in Slumberland,Gabriel Damon,Chris Columbus
Jean-Claude Lord,Eddie and the Cruisers II: Eddie Lives!,Michael ParÈ,P.F. Kluge
John Flynn,Lock Up,Sylvester Stallone,Richard Smith
Jim Wheat,After Midnight,Jillian McWhirter,Ken Wheat
Michael Anderson,Millennium,Kris Kristofferson,John Varley
Jay Levey,UHF,'Weird Al' Yankovic,'Weird Al' Yankovic
Steve Kloves,The Fabulous Baker Boys,Jeff Bridges,Steve Kloves
Zelda Barron,Shag,Phoebe Cates,Lanier Laney
Woody Allen,Crimes and Misdemeanors,Martin Landau,Woody Allen
Jim Jarmusch,Mystery Train,Masatoshi Nagase,Jim Jarmusch
Jim McBride,Great Balls of Fire!,Dennis Quaid,Myra Lewis
Sean S. Cunningham,DeepStar Six,Greg Evigan,Lewis Abernathy
Wes Craven,Shocker,Michael Murphy,Wes Craven
Francis Veber,Three Fugitives,Nick Nolte,Francis Veber
Lewis Gilbert,Shirley Valentine,Pauline Collins,Willy Russell
Phillip Noyce,Blind Fury,Rutger Hauer,RyÙzÙ Kasahara
John Irvin,Next of Kin,Patrick Swayze,Michael Jenning
Woody Allen,New York Stories,Woody Allen,Richard Price
Stuart Gordon,Robot Jox,Gary Graham,Stuart Gordon
Howard Zieff,The Dream Team,Michael Keaton,Jon Connolly
Susan Seidelman,She-Devil,Meryl Streep,Fay Weldon
Jim Wynorski,The Return of Swamp Thing,Dick Durock,Len Wein
Sidney Lumet,Family Business,Sean Connery,Vincent Patrick
Neil Jordan,We're No Angels,Robert De Niro,David Mamet
Emile Ardolino,Chances Are,Cybill Shepherd,Perry Howze
Walter Hill,Johnny Handsome,Mickey Rourke,John Godey
Rod Daniel,K-9,Jim Belushi,Steven Siegel
Michael Caton-Jones,Scandal,John Hurt,Michael Thomas
Dwight H. Little,The Phantom of the Opera,Robert Englund,Gaston Leroux
